US_Commercial Nuclear Power Reactors - Operating Reactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,License Number,Location,NRC Region,Licensee,Parent Company Utility Name,Parent Company Website,Parent Company Notes,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,"2018 Capacity Factor
(Percent)","2017 Capacity Factor
(Percent)","2016 Capacity Factor
(Percent)",2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),Years of Operation through 12/31/2019
"Palo Verde Nuclear Generating Station, Unit 3",Palo Verde 3,5000530,NPF-74,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,Arizona Public Service Company,www.aps.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/76,11/25/87,1/8/88,4/21/11,11/25/47,3990,,90%,92%,85%,85%,101%,79%,88%,97%,89%,83%,97%,32
"Peach Bottom Atomic Power Station, Unit 2",Peach Bottom 2,5000277,DPR-44,"Delta, PA (17.9 MI S of Lancaster,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 4,BECH,BECH,1/31/68,10/25/73,7/5/74,5/7/03,8/8/33,4016,,94%,92%,96%,99%,88%,100%,88%,101%,92%,102%,89%,46
"Peach Bottom Atomic Power Station, Unit 3",Peach Bottom 3,5000278,DPR-56,"Delta, PA (17.9 MI S of Lancaster,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 4,BECH,BECH,1/31/68,7/2/74,12/23/74,5/7/03,7/2/34,4016,,94%,86%,95%,75%,103%,85%,103%,90%,100%,89%,99%,45
"Perry Nuclear Power Plant, Unit 1",Perry 1,5000440,NPF-58,"Perry, OH (35 MI NE of Cleveland,  OH)",3,FirstEnergy Nuclear Operating Co.,FirstEnergy Nuclear Operating Company,www.firstenergycorp.com,,BWR-MARK 3,GE 6,GIL,KAIS,5/3/77,11/13/86,11/18/87,N/A,3/18/26,3758,,99%,85%,91%,83%,96%,73%,92%,79%,98%,67%,98%,33
"Point Beach Nuclear Plant, Unit 1",Point Beach 1,5000266,DPR-24,"Two Rivers, WI (13 MI NNW of Manitowoc,  WI)",3,"NextEra Energy Point Beach, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,WEST 2LP,BECH,BECH,7/19/67,10/5/70,12/21/70,12/22/05,10/5/30,1800,,99%,86%,86%,92%,90%,84%,100%,79%,88%,98%,87%,49
"Point Beach Nuclear Plant, Unit 2",Point Beach 2,5000301,DPR-27,"Two Rivers, WI (13 MI NNW of Manitowoc,  WI)",3,"NextEra Energy Point Beach, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,WEST 2LP,BECH,BECH,7/25/68,3/8/73,10/1/72,12/22/05,3/8/33,1800,AEC issued a provisional OL on 11/18/1971. The NRC issued a full-term OL on 03/08/1973.,94%,85%,94%,86%,90%,93%,89%,67%,96%,84%,89%,46
"Prairie Island Nuclear Generating Plant, Unit 1",Prairie Island 1,5000282,DPR-42,"Welch, MN (28 MI SE of Minneapolis,  MN)",3,Northern States Power Co. Minnesota ,Northern States Power Company Minnesota doing business as Xcel Energy,www.xcelenergy.com,,PWR-DRYAMB,WEST 2LP,FLUR,NSP,6/25/68,4/5/74,12/16/73,6/27/11,8/9/33,1677,AEC issued a provisional OL on 08/09/1973. The NRC issued a full-term OL on 04/05/1974.,89%,88%,81%,77%,84%,90%,81%,91%,96%,97%,84%,45
"Prairie Island Nuclear Generating Plant, Unit 2",Prairie Island 2,5000306,DPR-60,"Welch, MN (28 MI SE of Minneapolis,  MN)",3,Northern States Power Co. Minnesota ,Northern States Power Company Minnesota doing business as Xcel Energy,www.xcelenergy.com,,PWR-DRYAMB,WEST 2LP,FLUR,NSP,6/25/68,10/29/74,12/21/74,6/27/11,10/29/34,1677,,100%,80%,78%,65%,101%,59%,74%,99%,86%,75%,85%,45
"Quad Cities Nuclear Power Station, Unit 1",Quad Cities 1,5000254,DPR-29,"Cordova, IL (20 MI NE of Moline,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,2/15/67,12/14/72,2/18/73,10/28/04,12/14/32,2957,,99%,85%,92%,83%,103%,85%,102%,92%,99%,82%,96%,47
"Quad Cities Nuclear Power Station, Unit 2",Quad Cities 2,5000265,DPR-30,"Cordova, IL (20 MI NE of Moline,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,2/15/67,12/14/72,3/10/73,10/28/04,12/14/32,2957,,92%,89%,85%,95%,90%,91%,92%,104%,92%,91%,86%,47
R.E. Ginna Nuclear Power Plant,Ginna,5000244,DPR-18,"Ontario, NY (20 MI NE of Rochester,  NY)",1,"R.E. Ginna Nuclear Power Plant, LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 2LP,GIL,BECH,4/25/66,9/19/69,7/1/70,5/19/04,9/18/29,1775,,93%,87%,94%,89%,91%,93%,90%,84%,97%,91%,109%,50
"River Bend Station, Unit 1",River Bend 1,5000458,NPF-47,"St. Francisville, LA (24 MI NNW of Baton Rouge,  LA)",4,"Entergy Operations, Inc.","Entergy Corporation, Inc.",www.entergy-nuclear.com,,BWR-MARK 3,GE 6,S&W,S&W,3/25/77,11/20/85,6/16/86,12/20/18,8/29/45,3091,,82%,77%,78%,76%,96%,84%,91%,90%,98%,113%,82%,34
"St. Lucie Plant, Unit 1",Saint Lucie 1,5000335,DPR-67,"Jensen Beach, FL (10 MI SE of Ft. Pierce,  FL)",2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,CE,EBSO,EBSO,7/1/70,3/1/76,12/21/76,10/2/03,3/1/36,3020,,91%,90%,73%,83%,101%,74%,72%,85%,72%,100%,91%,43
"St. Lucie Plant, Unit 2",Saint Lucie 2,5000389,NPF-16,"Jensen Beach, FL (10 MI SE of Ft. Pierce,  FL)",2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,CE,EBSO,EBSO,5/2/77,4/6/83,8/8/83,10/2/03,4/6/43,3020,,87%,84%,92%,77%,82%,91%,68%,66%,100%,80%,99%,36
"Salem Nuclear Generating Station, Unit 1",Salem 1,5000272,DPR-70,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,,PWR-DRYAMB,WEST 4LP,PSEG,UE&C,9/25/68,12/1/76,6/30/77,6/30/11,8/13/36,3459,,100%,90%,68%,95%,86%,88%,97%,86%,85%,99%,91%,43
"Salem Nuclear Generating Station, Unit 2",Salem 2,5000311,DPR-75,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,,PWR-DRYAMB,WEST 4LP,PSEG,UE&C,9/25/68,5/20/81,10/13/81,6/30/11,4/18/40,3459,,87%,85%,85%,85%,73%,100%,88%,89%,98%,93%,83%,38
"Seabrook Station, Unit 1",Seabrook 1,5000443,NPF-86,"Seabrook, NH (13 MI S of Portsmouth,  NH)",1,"NextEra Energy Seabrook, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,WEST 4LP,UE&C,UE&C,7/7/76,3/15/90,8/19/90,3/12/19,3/15/50,3648,,92%,92%,99%,87%,93%,100%,75%,77%,100%,81%,89%,29
"Sequoyah Nuclear Plant, Unit 1",Sequoyah 1,5000327,DPR-77,"Soddy-Daisy, TN (16 MI NE of Chattanooga,  TN)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,5/27/70,9/17/80,7/1/81,9/24/15,9/17/40,3455,,89%,88%,71%,87%,100%,83%,89%,98%,84%,89%,101%,39
"Sequoyah Nuclear Plant, Unit 2",Sequoyah 2,5000328,DPR-79,"Soddy-Daisy, TN (16 MI NE of Chattanooga,  TN)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,5/27/70,9/15/81,6/1/82,9/25/15,9/15/41,3455,,88%,83%,90%,73%,90%,90%,77%,89%,97%,89%,89%,38
"Shearon Harris Nuclear Power Plant, Unit 1",Shearon Harris 1,5000400,NPF-63,"New Hill, NC (20 MI SW of Raleigh,  NC)",2,"Duke Energy Progress, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,WEST 3LP,EBSO,DANI,1/27/78,10/24/86,5/2/87,12/17/08,10/24/46,2948,,89%,99%,90%,87%,99%,83%,90%,103%,90%,94%,99%,33
"South Texas Project, Unit 1",South Texas 1,5000498,NPF-76,"Bay City, TX (90 MI SW of Houston, TX)",4,STP Nuclear Operating Co.,STP Nuclear Operating Company,www.stpnoc.com,,PWR-DRYAMB,WEST 4LP,BECH,EBSO,12/22/75,3/22/88,8/25/88,9/28/17,8/20/47,3853,,89%,85%,95%,78%,81%,91%,93%,94%,101%,90%,95%,31
"South Texas Project, Unit 2",South Texas 2,5000499,NPF-80,"Bay City, TX (90 MI SW of Houston, TX)",4,STP Nuclear Operating Co.,STP Nuclear Operating Company,www.stpnoc.com,,PWR-DRYAMB,WEST 4LP,BECH,EBSO,12/22/75,3/28/89,6/19/89,9/28/17,12/15/48,3853,,90%,97%,88%,85%,103%,59%,72%,88%,88%,101%,95%,30
"Surry Power Station, Unit 1",Surry 1,5000280,DPR-32,"Surry, VA (17 MI NW of Newport News,  VA)",2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,6/25/68,5/25/72,12/22/72,3/20/03,5/25/32,2587,,87%,101%,96%,76%,99%,91%,92%,101%,89%,94%,98%,47
"Surry Power Station, Unit 2",Surry 2,5000281,DPR-37,"Surry, VA (17 MI NW of Newport News,  VA)",2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,6/25/68,1/29/73,5/1/73,3/20/03,1/29/33,2587,,88%,93%,101%,82%,95%,101%,91%,76%,100%,92%,94%,46
"Susquehanna Steam Electric Station, Unit 1",Susquehanna 1,5000387,NPF-14,"Salem Township (Luzerne Co.), PA (70 MI NE of Harrisburg, PA)",1,"Susquehanna Nuclear, LLC",Talen Energy Corporation,www.talenenergy.com,,BWR-MARK 2,GE 4,BECH,BECH,11/3/73,7/17/82,6/8/83,11/24/09,7/17/42,3952,,86%,97%,77%,76%,83%,87%,70%,86%,80%,101%,89%,37
"Susquehanna Steam Electric Station, Unit 2",Susquehanna 2,5000388,NPF-22,"Salem Township (Luzerne Co.), PA (70 MI NE of Harrisburg, PA)",1,"Susquehanna Nuclear, LLC",Talen Energy Corporation,www.talenenergy.com,,BWR-MARK 2,GE 4,BECH,BECH,11/3/73,3/23/84,2/12/85,11/24/09,3/23/44,3952,,99%,86%,93%,82%,88%,80%,83%,72%,96%,90%,100%,35
"Three Mile Island Nuclear Station, Unit 1",Three Mile Island 1,5000289,DPR-50,"Middletown, PA (10 MI SE of Harrisburg,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,B&W LLP,GIL,UE&C,5/18/68,4/19/74,9/2/74,10/22/09,4/19/34,2568,,100%,80%,82%,77%,104%,78%,100%,92%,94%,86%,107%,45
Turkey Point Nuclear Generating Unit No. 3,Turkey Point 3,5000250,DPR-31,"Homestead, FL (20 MI S of Miami,  FL)",2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",www.fplgroup.com,,PWR-DRYAMB,WEST 3LP,BECH,BECH,4/27/67,7/19/72,12/14/72,6/6/02,7/19/32,2644,,89%,80%,93%,78%,84%,81%,40%,96%,88%,86%,101%,47
Turkey Point Nuclear Generating Unit No. 4,Turkey Point 4,5000251,DPR-41,"Homestead, FL (20 MI S of Miami,  FL)",2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",www.fplgroup.com,,PWR-DRYAMB,WEST 3LP,BECH,BECH,4/27/67,4/10/73,9/7/73,6/6/02,4/10/33,2644,,100%,98%,99%,106%,88%,70%,85%,84%,98%,99%,89%,46
"Virgil C. Summer Nuclear Station, Unit 1",Summer,5000395,NPF-12,"Jenkinsville, SC (26 MI NW of Columbia,  SC)",2,South Carolina Electric & Gas Co.,South Carolina Electric & Gas Company,www.sceg.com,,PWR-DRYAMB,WEST 3LP,GIL,DANI,3/21/73,11/12/82,1/1/84,4/23/04,8/6/42,2900,,85%,77%,96%,79%,81%,93%,86%,88%,100%,81%,87%,37
"Vogtle Electric Generating Plant, Unit 1",Vogtle 1,5000424,NPF-68,"Waynesboro, GA (26 MI SE of Augusta,  GA)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 4LP,SBEC,GPC,6/28/74,3/16/87,6/1/87,6/3/09,1/16/47,3625,,93%,93%,101%,91%,87%,101%,91%,92%,102%,91%,93%,32
"Vogtle Electric Generating Plant, Unit 2",Vogtle 2,5000425,NPF-81,"Waynesboro, GA (26 MI SE of Augusta,  GA)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 4LP,SBEC,GPC,6/28/74,3/31/89,5/20/89,6/3/09,2/9/49,3625,,100%,96%,94%,100%,92%,87%,102%,94%,93%,101%,88%,30
"Waterford Steam Electric Station, Unit 3",Waterford 3,5000382,NPF-38,"Killona, LA (25 MI W of New Orleans,  LA)",4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,COMB CE,EBSO,EBSO,11/14/74,3/16/85,9/24/85,12/27/18,12/18/44,3716,,100%,80%,96%,80%,90%,89%,77%,82%,100%,87%,89%,34
"Watts Bar Nuclear Plant, Unit 1",Watts Bar 1,5000390,NPF-90,"Spring City, TN (60 MI SW of Knoxville,  TN)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,1/23/73,2/7/96,5/27/96,N/A,11/9/35,3459,,87%,77%,85%,76%,89%,90%,87%,84%,99%,94%,82%,23
"Watts Bar Nuclear Plant, Unit 2",Watts Bar 2,5000391,NPF-96,"Spring City, TN (60 MI SW of Knoxville,  TN)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,1/24/73,10/22/15,10/19/16,N/A,10/22/55,3411,,95%,45%,26%,0%,,,,,,,,4
"Wolf Creek Generating Station, Unit 1",Wolf Creek 1,5000482,NPF-42,"Burlington (Coffey County), KS (28 MI SE of Emporia, KS)",4,Wolf Creek Nuclear Operating Corp.,Wolf Creek Nuclear Operating Corporation,www.wcnoc.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,BECH,DANI,5/17/77,6/4/85,9/3/85,11/20/08,3/11/45,3565,"The original OL (NPF-32) was issued on March 11, 1985. This license was superseded by OL( NPF-42) issued on June 4, 1985.",86%,96%,74%,78%,83%,65%,80%,72%,86%,86%,83%,34
